Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Percentage Change,Hash Rate
BTC,2014-08-13,534.54,565.5513,565.73,524.33,-0.0548,153980.265
BTC,2014-08-14,511.4725,534.54,534.5788,495.26,-0.0432,166730.2233
BTC,2014-08-15,487.5663,511.4725,515.36,483.475,-0.0467,159864.8612
BTC,2014-08-16,516.6263,487.5663,522.19,484.215,0.0596,167710.9893
BTC,2014-08-17,489.4675,516.6263,516.9538,482.8588,-0.0526,161826.3932
BTC,2014-08-18,455.9163,489.4675,491.965,435.5988,-0.0685,171634.0534
BTC,2014-08-19,472.91,455.9163,488.5263,455.8338,0.0373,202037.8
BTC,2014-08-20,519.015,472.91,532.7675,464.3963,0.0975,187281.3463
BTC,2014-08-21,508.1288,519.015,526.7863,506.6363,-0.021,199134.5961
BTC,2014-08-22,507.51,508.1288,522.1938,500.0363,-0.0012,190837.3213
BTC,2014-08-23,501.6313,507.51,509.285,490.61,-0.0116,186096.0214
BTC,2014-08-24,503.3213,501.6313,513.375,496.2525,0.0034,194393.2962
BTC,2014-08-25,504.6263,503.3213,506.1988,497.6763,0.0026,158833.5469
BTC,2014-08-26,513.3913,504.6263,514.8538,503.2263,0.0174,196763.9462
BTC,2014-08-27,514.6238,513.3913,521.3488,509.5888,0.0024,190837.3213
BTC,2014-08-28,506.025,514.6238,515.7838,505.4613,-0.0167,214543.8208
BTC,2014-08-29,504.7063,506.025,512.28,502.4225,-0.0026,196763.9462
BTC,2014-08-30,502.055,504.7063,505.585,499.4988,-0.0053,203875.896
BTC,2014-08-31,474.5425,502.055,502.5438,474.0913,-0.0548,231138.3705
BTC,2014-09-01,477.9838,474.5425,485.94,471.1238,0.0073,204522.6957
BTC,2014-09-02,476.8838,477.9838,483.305,470.8838,-0.0023,194978.3032
BTC,2014-09-03,475.65,476.8838,479.5988,473.8788,-0.0026,216794.0574
BTC,2014-09-04,485.6513,475.65,494.0363,475.1038,0.021,227701.9345
BTC,2014-09-05,480.9075,485.6513,489.5875,478.8263,-0.0098,203159.211
BTC,2014-09-06,481.8838,480.9075,484.8225,479.78,0.002,229065.4191
BTC,2014-09-07,473.5863,481.8838,485.37,471.9988,-0.0172,223611.4806
BTC,2014-09-08,468.5775,473.5863,478.3925,464.52,-0.0106,208613.1496
BTC,2014-09-09,474.2913,468.5775,478.0338,464.6563,0.0122,179979.9722
BTC,2014-09-10,479.4175,474.2913,487.2063,474.2913,0.0108,212703.6035
BTC,2014-09-11,473.6725,479.4175,480.3975,471.1663,-0.012,220884.5113
BTC,2014-09-12,471.5325,473.6725,476.0213,467.1125,-0.0045,219521.0267
BTC,2014-09-13,475.3788,471.5325,479.2275,470.9713,0.0082,241336.7809
BTC,2014-09-14,475.0213,475.3788,477.7838,473.335,-0.0008,252083.493
BTC,2014-09-15,471.0838,475.0213,476.4363,468.3875,-0.0083,219460.9233
BTC,2014-09-16,464.5538,471.0838,472.4213,461.6563,-0.0139,250600.6489
BTC,2014-09-17,449.9588,464.5538,465.3238,446.705,-0.0314,280257.5305
BTC,2014-09-18,425.4475,449.9588,451.3663,405.1838,-0.0545,274326.1542
BTC,2014-09-19,410.08,425.4475,426.4813,380.745,-0.0361,240220.7404
BTC,2014-09-20,405.7963,410.08,422.9913,401.9338,-0.0104,256532.0252
BTC,2014-09-21,399.0975,405.7963,405.7963,390.7875,-0.0165,259497.7134
BTC,2014-09-22,399.5025,399.0975,405.245,394.5913,0.001,232806.52
BTC,2014-09-23,427.8125,399.5025,443.6875,391.4563,0.0709,223909.4556
BTC,2014-09-24,416.12,427.8125,431.79,412.8988,-0.0273,241703.5845
BTC,2014-09-25,410.15,416.12,418.56,406.6013,-0.0143,241703.5845
BTC,2014-09-26,403.4975,410.15,411.04,396.0438,-0.0162,260177.3531
BTC,2014-09-27,398.84,403.4975,405.205,394.14,-0.0115,220547.69
BTC,2014-09-28,377.9788,398.84,398.8675,370.0563,-0.0523,239501.0072
BTC,2014-09-29,376.0838,377.9788,385.7138,369.125,-0.005,237777.9783
BTC,2014-09-30,387.94,376.0838,393.98,373.7763,0.0315,261900.3819
BTC,2014-10-01,381.7475,387.94,390.3538,377.6,-0.016,249839.1801
BTC,2014-10-02,372.0575,381.7475,382.7713,369.2488,-0.0254,255008.2666
BTC,2014-10-03,360.7525,372.0575,374.555,353.8013,-0.0304,242947.0648
BTC,2014-10-04,335.9813,360.7525,362.13,321.8638,-0.0687,246393.1225
BTC,2014-10-05,308.0788,335.9813,337.2238,286.3687,-0.083,306699.1315
BTC,2014-10-06,337.2338,308.0788,343.51,304.6875,0.0946,275684.6125
BTC,2014-10-07,326.2325,337.2338,338.76,316.7175,-0.0326,260177.3531
BTC,2014-10-08,351.3463,326.2325,355.7388,325.5138,0.077,225716.7765
BTC,2014-10-09,368.5963,351.3463,382.6663,347.19,0.0491,247077.5603
BTC,2014-10-10,359.2025,368.5963,374.9038,351.54,-0.0255,276657.2683
BTC,2014-10-11,356.9988,359.2025,363.7338,350.4863,-0.0061,248817.5431
BTC,2014-10-12,371.1563,356.9988,377.9213,352.4538,0.0397,257517.4572
BTC,2014-10-13,392.7825,371.1563,394.5675,366.7275,0.0583,266217.3713
BTC,2014-10-14,396.3463,392.7825,409.7338,390.8938,0.0091,243597.5947
BTC,2014-10-15,392.5663,396.3463,397.4838,386.385,-0.0095,255777.4744
BTC,2014-10-16,376.2688,392.5663,393.3638,369.2938,-0.0415,260997.4229
BTC,2014-10-17,378.675,376.2688,382.7,371.8338,0.0064,233157.6978
BTC,2014-10-18,390.9588,378.675,392.8713,376.2113,0.0324,294057.0964
BTC,2014-10-19,381.7238,390.9588,391.365,381.7238,-0.0236,233157.6978
BTC,2014-10-20,380.0575,381.7238,383.8175,377.025,-0.0044,240117.6291
BTC,2014-10-21,382.9388,380.0575,388.965,377.9094,0.0076,243597.5947
BTC,2014-10-22,376.59,382.9388,383.8075,376.59,-0.0166,297537.0621
BTC,2014-10-23,351.7825,376.59,376.59,351.2563,-0.0659,255806.3909
BTC,2014-10-24,353.6325,351.7825,360.555,351.12,0.0053,291583.5085
BTC,2014-10-25,345.1925,353.6325,355.545,339.9263,-0.0239,271906.0938
BTC,2014-10-26,350.9775,345.1925,357.8688,345.1925,0.0168,232551.2644
BTC,2014-10-27,349.7963,350.9775,355.5313,346.0013,-0.0034,266539.5262
BTC,2014-10-28,348.9025,349.7963,354.6925,346.8288,-0.0026,268328.3821
BTC,2014-10-29,335.5363,348.9025,351.8488,332.4987,-0.0383,257595.2468
BTC,2014-10-30,343.5588,335.5363,350.4138,332.7338,0.0239,309472.0673
BTC,2014-10-31,338.0105,343.5588,346.2663,335.5037,-0.0161,336304.9055
BTC,2014-11-01,325.2263,338.0105,338.1295,319.367,-0.0378,286216.9409
BTC,2014-11-02,331.6008,325.2263,333.7598,319.0435,0.0196,293372.3644
BTC,2014-11-03,324.7183,331.6008,332.7513,323.0633,-0.0208,277272.6615
BTC,2014-11-04,332.4567,324.7183,335.8117,320.9333,0.0238,293372.3644
BTC,2014-11-05,336.585,332.4567,341.49,328.5617,0.0124,314993.4284
BTC,2014-11-06,346.775,336.585,351.575,336.0283,0.0303,285462.7945
BTC,2014-11-07,344.8117,346.775,351.295,339.86,-0.0057,283494.0856
BTC,2014-11-08,343.065,344.8117,345.625,340.63,-0.0051,307118.5927
BTC,2014-11-09,358.5017,343.065,363.8533,342.325,0.045,273650.541
BTC,2014-11-10,368.0767,358.5017,374.7117,357.98,0.0267,311056.0106
BTC,2014-11-11,376.9967,368.0767,380.52,360.4917,0.0242,277587.9588
BTC,2014-11-12,442.1067,376.9967,442.3717,376.9867,0.1727,265775.7052
BTC,2014-11-13,389.0033,442.1067,458.0517,385.675,-0.1201,287431.5034
BTC,2014-11-14,394.9267,389.0033,412.2067,381.855,0.0152,287431.5034
BTC,2014-11-15,377.08,394.9267,397.0267,368.45,-0.0452,295306.3392
BTC,2014-11-16,400.4717,377.08,404.445,376.615,0.062,285462.7945
BTC,2014-11-17,384.93,400.4717,410.17,375.4783,-0.0388,299243.757
BTC,2014-11-18,375.8333,384.93,389.36,369.515,-0.0236,295306.3392
BTC,2014-11-19,376.16,375.8333,385.06,371.7183,0.0009,274455.5762
BTC,2014-11-20,348.565,376.16,377.63,347.5133,-0.0734,274455.5762
BTC,2014-11-21,352.42,348.565,355.835,341.93,0.0111,248412.3463
BTC,2014-11-22,356.8,352.42,363.7017,351.0683,0.0124,316525.409
BTC,2014-11-23,367.83,356.8,371.2417,353.475,0.0309,282468.8777
BTC,2014-11-24,381.2067,367.83,388.6767,364.89,0.0364,310515.4329
BTC,2014-11-25,375.498,381.2067,393.0633,369.851,-0.015,256425.6478
BTC,2014-11-26,372.819,375.498,377.667,365.265,-0.0071,286475.5284
BTC,2014-11-27,368.983,372.819,373.272,367.401,-0.0103,262435.624
BTC,2014-11-28,375.44,368.983,381.554,358.018,0.0175,310515.4329
BTC,2014-11-29,376.851,375.44,385.537,372.332,0.0038,302502.1314
